sample_fp	plate	well	cycle	channel
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA1_ChannelA594_30p_Seq0006.nd2	1	A1	11	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA1_ChannelCY3_30p_545_Seq0000.nd2	1	A1	11	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA1_ChannelCY5_30p_Seq0012.nd2	1	A1	11	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c11/20200306_174408_965/WellA1_ChannelCY7_30p_Seq0018.nd2	1	A1	11	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c1/20200218_141421_172/WellA2_ChannelDAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p_Seq0001.nd2	1	A2	1	DAPI-CY3_30p_545-A594_30p-CY5_30p-CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	2	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	2	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	2	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c2/20200224_101922_191/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	2	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	3	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	3	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	3	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c3/20200225_104313_901/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	3	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	4	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	4	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	4	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c4/20200226_121850_736/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	4	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	5	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	5	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	5	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c5/20200227_155742_611/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	5	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	6	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	6	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	6	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c6/20200228_142157_751/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	6	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	7	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	7	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	7	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c7/20200302_140848_588/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	7	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	8	A594_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA2_ChannelCY3_30p_545_Seq0001.nd2	1	A2	8	CY3_30p_545
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA2_ChannelCY5_30p_Seq0013.nd2	1	A2	8	CY5_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c8/20200303_154249_812/WellA2_ChannelCY7_30p_Seq0019.nd2	1	A2	8	CY7_30p
/archive/cheeseman/ops_data/aconcagua/input_sbs/plate_1/c9/20200304_161626_510/WellA2_ChannelA594_30p_Seq0007.nd2	1	A2	9	A594_30p
