sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_1/20200213_220515_359/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0010.nd2	2	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_2/20200206_172252_030/WellB2_ChannelA594_1x1_Seq0009.nd2	2	B2	2	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_2/20200206_172252_030/WellB2_ChannelAF750_1x1_Seq0008.nd2	2	B2	2	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_1/20200213_220515_359/WellB3_ChannelA594_1x1_Seq0003.nd2	2	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_1/20200213_220515_359/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0009.nd2	2	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_2/20200206_172252_030/WellB3_ChannelA594_1x1_Seq0007.nd2	2	B3	2	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_2/round_2/20200206_172252_030/WellB3_ChannelAF750_1x1_Seq0006.nd2	2	B3	2	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA1_ChannelA594_1x1_Seq0001.nd2	3	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA1_ChannelAF750_1x1_Seq0000.nd2	3	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0000.nd2	3	A1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA2_ChannelA594_1x1_Seq0003.nd2	3	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA2_ChannelAF750_1x1_Seq0002.nd2	3	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0001.nd2	3	A2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA3_ChannelA594_1x1_Seq0005.nd2	3	A3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellA3_ChannelAF750_1x1_Seq0004.nd2	3	A3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellA3_ChannelDAPI_1x1-GFP_1x1_Seq0002.nd2	3	A3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB1_ChannelA594_1x1_Seq0011.nd2	3	B1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB1_ChannelAF750_1x1_Seq0010.nd2	3	B1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellB1_ChannelDAPI_1x1-GFP_1x1_Seq0005.nd2	3	B1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB2_ChannelA594_1x1_Seq0009.nd2	3	B2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB2_ChannelAF750_1x1_Seq0008.nd2	3	B2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0004.nd2	3	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB3_ChannelA594_1x1_Seq0007.nd2	3	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200208_173712_717/WellB3_ChannelAF750_1x1_Seq0006.nd2	3	B3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_3/round_1/20200212_174344_191/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0003.nd2	3	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA1_ChannelA594_1x1_Seq0001.nd2	4	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA1_ChannelAF750_1x1_Seq0000.nd2	4	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0012.nd2	4	A1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_2/20200216_204330_796/WellA1_ChannelGFP_1x1_Seq0000.nd2	4	A1	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA2_ChannelA594_1x1_Seq0003.nd2	4	A2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA2_ChannelAF750_1x1_Seq0002.nd2	4	A2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellA2_ChannelDAPI_1x1-GFP_1x1_Seq0013.nd2	4	A2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_2/20200216_204330_796/WellA2_ChannelGFP_1x1_Seq0001.nd2	4	A2	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB1_ChannelA594_1x1_Seq0011.nd2	4	B1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB1_ChannelAF750_1x1_Seq0010.nd2	4	B1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB1_ChannelDAPI_1x1-GFP_1x1_Seq0017.nd2	4	B1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_2/20200216_204330_796/WellB1_ChannelGFP_1x1_Seq0005.nd2	4	B1	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB2_ChannelA594_1x1_Seq0009.nd2	4	B2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB2_ChannelAF750_1x1_Seq0008.nd2	4	B2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0016.nd2	4	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_2/20200216_204330_796/WellB2_ChannelGFP_1x1_Seq0004.nd2	4	B2	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB3_ChannelA594_1x1_Seq0007.nd2	4	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB3_ChannelAF750_1x1_Seq0006.nd2	4	B3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_1/20200207_173701_738/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0015.nd2	4	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_4/round_2/20200216_204330_796/WellB3_ChannelGFP_1x1_Seq0003.nd2	4	B3	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA1_ChannelA594_1x1_Seq0001.nd2	5	A1	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA1_ChannelAF750_1x1_Seq0000.nd2	5	A1	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_5/round_1/20200217_145745_378/WellA1_ChannelDAPI_1x1-GFP_1x1_Seq0012.nd2	5	A1	1	DAPI_1x1-GFP_1x1
